,NL,ZAI,America,America,LI,RL,-----6--,0901,,5126N 00559E,
,NL,AMR,Amerongen,Amerongen,UT,AF,1-3-----,1607,,5200N 00528E,
,NL,AME,Amersfoort,Amersfoort,,AF,123-----,1101,QYM,5209N 00523E,
,NL,AMZ,Ammerzoden,Ammerzoden,,AF,--3-----,9602,,,
,NL,ALH,Amstelhoek,Amstelhoek,,RL,-23-----,0601,,5214N 00450E,
,NL,AMV,Amstelveen,Amstelveen,,AF,--3-----,9602,,,
,NL,ATR,Amstenrade,Amstenrade,LI,RQ,-----6--,0907,,5056N 00556E,
¦,NL,AMS,Amsterdam,Amsterdam,,AF,12345---,1907,,5224N 00449E,@Coo
,NL,ANL,Andel,Andel,,AF,--3-----,9602,,,
,NL,ANT,Andelst,Andelst,,AF,--3-----,9602,,,
,NL,AND,Anderen,Anderen,DR,RL,--3-----,1601,,5300N 00641E,
,NL,AIJ,Andijk,Andijk,,AF,--3-----,9602,,,
,NL,REN,Angeren,Angeren,GE,RL,--3-----,0901,,5155N 00558E,
,NL,AJM,Anjum,Anjum,,AF,--3-----,9602,,,
,NL,ANP,Anna Paulowna,Anna Paulowna,NH,AF,1-3-----,1607,,5252N 00452E,
,NL,NNE,Annen,Annen,,RL,--3-----,9805,,,Drenthe
,NL,APE,Apeldoorn,Apeldoorn,,AF,-23-----,9602,QYP,,
,NL,APS,Appelscha,Appelscha,FR,RL,--3-----,0701,,5257N 00622E,
,NL,APP,Appingedam,Appingedam,GR,AF,1-3-----,1607,,5319N 00652E,
,NL,ARC,Arcen,Arcen,LI,AF,1-3-----,1607,,5129N 00611E,
,NL,ARK,Arkel,Arkel,,AF,--3-----,9602,,,
,NL,ARM,Arnemuiden,Arnemuiden,,AF,--3-----,9602,,,
,NL,ARN,Arnhem,Arnhem,,AF,-23-----,9602,QAR,,
,NL,ARU,Arum,Arum,FR,RL,--3-----,1901,,5308N 00529E,
,NL,ASC,Asch,Asch,GE,RL,--3-----,1607,,5156N 00519E,
,NL,ASP,Asperen,Asperen,,AF,--3-----,9602,,,
,NL,ASS,Assen,Assen,,AF,--3-----,9602,,,
,NL,ASD,Assendelft,Assendelft,,AF,--3-----,9602,,,
,NL,AST,Asten,Asten,NB,AF,--3-----,0701,,5124N 00544E,
,NL,ZAC,Augustinusga,Augustinusga,FR,RL,-----6--,0901,,5313N 00610E,
,NL,AVE,Avenhorn,Avenhorn,,AF,--3-----,9602,,,
,NL,AXL,Axel,Axel,ZE,RL,--3-----,0212,,5116N 00355E,
+,NL,BA2,Baak,Baak,GE,RL,--3-----,1907,,5207N 00620E,
,NL,BGE,Baambrugge,Baambrugge,UT,RN,123-----,0501,,5215N 00459E,
,NL,ARD,Baard,Baard,FR,RN,--3-----,0501,,5309N 00540E,
,NL,BRA,Baarland,Baarland,ZE,RQ,1-3-----,0607,,5124N 00352E,
,NL,BNS,Baarle-Nassau,Baarle-Nassau,,AF,--3-----,9602,,,
,NL,BLO,Baarlo,Baarlo,,AF,--3-----,9602,,,
,NL,BAA,Baarn,Baarn,UT,AF,-23-----,0407,,5213N 00516E,
,NL,BBR,Babberich,Babberich,GE,RL,--3-----,0907,,5154N 00607E,
,NL,BAD,Badhoevedorp,Badhoevedorp,,AF,--3-----,9602,,,
,NL,BXE,Baexem,Baexem,,RQ,--3-----,9705,,,
,NL,BAF,Baflo,Baflo,,AF,--3-----,9602,,,
,NL,BAK,Bakel,Bakel,NB,RL,--3-----,0212,,5130N 00544E,
,NL,BKH,Bakhuizen,Bakhuizen,FR,RQ,--3-----,0907,,5252N 00527E,
,NL,BAL,Balk,Balk,,AF,--3-----,9602,,,
,NL,BKB,Balkbrug,Balkbrug,,AF,--3-----,9602,,,
,NL,BAN,Bant,Bant,FL,RN,1-3-----,0501,,5246N 00545E,
,NL,BRR,Barendrecht,Barendrecht,,AF,123-----,1607,,,
,NL,BAR,Barneveld,Barneveld,,AF,--3-----,9602,,,
,NL,BGO,Barsingerhorn,Barsingerhorn,NH,RN,1-3-----,0501,,5247N 00451E,
,NL,BHM,Bartlehiem,Bartlehiem,FR,RN,1-3-----,0501,,5317N 00550E,
,NL,BTH,Bathmen,Bathmen,,AF,--3-----,9602,,,
,NL,BAV,Bavel,Bavel,,AF,--3-----,9602,,,
,NL,BED,Bedum,Bedum,,AF,--3-----,9602,,,
,NL,BEQ,Beek,Beek,,AF,--3-----,9602,,,
,NL,ZAK,Beek,Beek,LI,RL,---4-6--,1607,,5132N 00557E,
,NL,BEE,Beek en Donk,Beek en Donk,,AF,--3-----,9602,,,
,NL,BSR,Beemster,Beemster,NH,RL,--3-----,1301,,5255N 00500E,
,NL,BBB,Beers,Beers,NB,RL,--3-----,0901,,5143N 00550E,
,NL,BSD,Beesd,Beesd,,AF,--3-----,9602,,,
,NL,BSL,Beesel,Beesel,LI,RL,1-3-----,1107,,5116N 00602E,
