,IM,BRI,Bride,Bride,,RQ,-----6--,1001,,5423N 00423W,
,IM,CTN,Castletown,Castletown,,RL,1-3-----,0607,,5405N 00439W,
,IM,DGS,Douglas,Douglas,,AF,1-3-----,0607,,5410N 00429W,ex GB DGS
,IM,JBY,Jurby,Jurby,,RL,--3-----,0901,,5421N 00432W,
,IM,KIR,Kirkmichale,Kirkmichale,,RL,--3-----,1601,,5417N 00435W,
,IM,7MI,Maughold,Maughold,,RL,--3-----,1601,,5418N 00419W,
,IM,OHN,Onchan,Onchan,,RL,--3-----,0901,,5411N 00427W,
,IM,PEL,Peel,Peel,,AF,1-3-----,0607,,5413N 00446W,ex GB PEL
,IM,PSM,Port Saint Mary,Port Saint Mary,,RL,1-------,1707,,5404N 00444W,
,IM,RAM,Ramsey,Ramsey,,RL,1-3-----,0607,,5419N 00423W,ex GB RAM
,IM,IOM,Ronaldsway Apt,Ronaldsway Apt,,AF,---4----,0607,,5415N 00430W,ex GB IOM
,IM,SAN,Santon,Santon,,RQ,1----6--,1001,,5407N 00435W,
