,GG,ACI,Alderney,Alderney,,AF,1--4----,0607,,4941N 00212W,ex GB ACI
,GG,GCI,Guernsey,Guernsey,,AF,1--4----,0607,,4926N 00235W,ex GB GCI
,GG,SPT,Saint Peter Port,Saint Peter Port,,AF,1-3-----,1101,,4927N 00233W,ex GB SPT
,GG,STS,Saint Sampson,Saint Sampson,,RL,--3-----,1101,,4929N 00231W,
