,NO,BJO,Bjoa,Bjoa,11,RL,--3-----,1701,,5939N 00538E,
,NO,BJD,Bjordal,Bjordal,14,AA,1-------,1407,,6105N 00550E,
,NO,BJN,Bjorkelangen,Bjorkelangen,02,RL,--3-----,1707,,5953N 01134E,
,NO,BJV,Bjornevatn,Bjornevatn,20,RL,--3-----,1301,,6940N 02959E,
,NO,BJU,Bjugn,Bjugn,16,AA,1-------,1501,,6345N 00945E,
,NO,BJX,Bjørkås,Bjorkas,02,AA,1-3-----,1501,,5947N 01030E,
,NO,BKR,Blaker,Blaker,02,RL,--3-----,1607,,6000N 01118E,
,NO,BLK,Bleik,Bleik,18,RQ,1-------,1007,,6916N 01557E,
,NO,BLO,Blokken,Blokken,18,AA,1-------,1407,,6836N 01523E,
,NO,BDN,Blomsterdalen,Blomsterdalen,12,RL,--3-----,0607,,6016N 00515E,
,NO,BLV,Blomvåg,Blomvag,12,AA,1-------,1407,,6032N 00453E,
,NO,BOO,Bodø,Bodo,18,AA,1234----,1501,,6717N 01422E,
,NO,BOG,Bogen,Bogen,18,RL,1-3-----,0212,,6831N 01659E,
,NO,BON,Bognes,Bognes,18,AA,1-------,1407,,6813N 01604E,
,NO,OYB,Bogøy,Bogoy,18,AA,1-------,1407,,6754N 01511E,
,NO,BOK,Bokn,Bokn,11,AA,1-------,1501,,5913N 00526E,
,NO,BLY,Bolsøya,Bolsoya,15,RL,--3-----,0701,,6244N 00717E,
,NO,BNE,Bones,Bones,12,RL,--3-----,1607,,6019N 00518E,
,NO,BOS,Borkenes,Borkenes,19,RL,1-3-----,0212,,6846N 01610E,
,NO,BRR,Borre,Borre,07,AI,1-------,9704,,,
,NO,BBG,Bosberg,Bosberg,16,RL,--3-----,0501,,6325N 01011E,
,NO,SBT,Botn - Sandnessjøen,Botn - Sandnessjoen,18,AA,1-------,1407,,6600N 01239E,
,NO,BTN,Botnaneset - Flora,Botnaneset - Flora,14,AA,1-------,1401,,6137N 00504E,
,NO,BTH,Botnhamn,Botnhamn,19,RL,1-3-----,0901,,6931N 01754E,
,NO,BKD,Brakstad,Brakstad,12,AF,1-3-----,9501,,,
,NO,BRN,Brandasund,Brandasund,12,AA,1-------,1601,,5954N 00506E,
,NO,BBU,Brandbu,Brandbu,05,RL,--3-----,1101,,6026N 01028E,
,NO,BSF,Brandsfjord,Brandsfjord,16,AA,1-------,1601,,6411N 01021E,
,NO,BVL,Brandval,Brandval,04,RL,-23-----,0501,,6019N 01202E,
,NO,BRS,Braskereidfoss,Braskereidfoss,04,RL,--3-----,1401,,6043N 01147E,
,NO,NZG,Brattholmen,Brattholmen,12,RL,--3--6--,0901,,6021N 00509E,
,NO,BRV,Brattvåg,Brattvag,15,AA,1-3-----,1501,,6236N 00626E,
,NO,BVR,Breiviga,Breiviga,11,AA,1-------,1407,,5905N 00554E,
,NO,BVB,Breivikbotn,Breivikbotn,20,RL,1-3-----,0901,,7035N 02217E,
,NO,NZF,Brekke,Brekke,14,RL,-----6--,0901,,6101N 00528E,
,NO,BKS,Brekstad,Brekstad,16,RL,1-------,0212,,6341N 00941E,
,NO,BRE,Bremanger,Bremanger,14,AI,1-------,9704,,,
,NO,NZD,Bremnes,Bremnes,12,RL,-----6--,0901,,5947N 00510E,
,NO,BRH,Brensholmen,Brensholmen,19,AA,1-------,1407,,6936N 01802E,
,NO,BTS,Brettesnes,Brettesnes,18,RL,1-------,1201,,6814N 01452E,
,NO,BVK,Brevik,Brevik,08,AA,1-3-----,1501,,5903N 00942E,
,NO,BUU,Bru,Bru,14,RL,--3-----,1301,,5902N 00539E,
,NO,BRU,Brumunddal,Brumunddal,04,RL,-23-----,0212,,6052N 01055E,
,NO,BRA,Bryggja,Bryggja,14,AA,--3-----,1401,,6156N 00523E,
,NO,BRY,Bryne,Bryne,11,AF,--3-----,9506,,,
,NO,BRO,Brønnøy,Bronnoy,18,AI,1-------,9704,,,
