,FI,GUL,Gullö,Gullo,18,AF,1-3-----,1307,,5957N 02325E,
,FI,swe_KUS,Gustavs (Kustavi),Gustavs (Kustavi),19,AI,1-------,1307,,,
,FI,HAA,Haapajärvi,Haapajarvi,14,AF,--3-----,1307,,6345N 02519E,
,FI,HAP,Haapamäki,Haapamaki,,RL,--3-----,1201,,6215N 02427E,
,FI,HPS,Haapavesi,Haapavesi,14,RL,--3-----,1401,,6408N 02522E,
,FI,HAJ,Haarajärvi,Haarajarvi,13,RL,--3-----,1307,,6211N 03011E,
,FI,KOL,Haikola,Haikola,14,RL,--3-----,1307,,6354N 02432E,
,FI,HAO,Hailuoto,Hailuoto,14,AF,1-------,1307,,6500N 02450E,
,FI,HAK,Hakkola,Hakkola,03,RL,1-3-----,1307,,6223N 02243E,
,FI,HLK,Halikko,Halikko,19,RL,--3-----,1307,,,
,FI,HLI,Halli,Halli,08,RQ,--3-----,1307,,6152N 02450E,
,FI,HAL,Halonen,Halonen,10,RL,1-3-----,1307,,6641N 02730E,
,FI,LHO,Halosenlahti,Halosenlahti,,RL,1-------,1107,,6514N 02519E,
,FI,HLA,Haluna,Haluna,15,RL,-23--6--,1307,,6308N 02800E,
,FI,HMN,Hamina (Fredrikshamn),Hamina (Fredrikshamn),09,AI,1-------,1307,QVZ,6034N 02712E,
,FI,swe_HKO,Hangö (Hanko),Hango (Hanko),18,AI,1-------,1307,,,
,FI,HKM,Hankasalmi,Hankasalmi,08,RL,-23-----,1307,,6223N 02626E,
,FI,HKO,Hanko (Hangö),Hanko (Hango),18,AI,1-------,1307,,,
,FI,HRJ,Harjavalta,Harjavalta,17,AF,--3-----,1307,,,
,FI,HJM,Harjumaa,Harjumaa,,RL,--3-----,1301,,6149N 02703E,
+,FI,HJS,Harjunsalmi,Harjunsalmi,19,AA,--3-----,1907,,6140N 02517E,
,FI,HTL,Hartola,Hartola,,RL,--3-----,1301,,6109N 02631E,
,FI,HRT,Hartola/Kymenlaakso,Hartola/Kymenlaakso,09,RL,--3-----,1401,,6109N 02631E,
,FI,HTO,Hartola/Paijat-Hame,Hartola/Paijat-Hame,16,RL,--3-----,1401,,6135N 02601E,
,FI,HAR,Harvaluoto,Harvaluoto,01,RL,1-------,1307,,6022N 02028E,
,FI,HLJ,Harviala,Harviala,,RL,--3-----,1301,,6057N 02435E,
,FI,HAT,Hattula,Hattula,06,RL,--3-----,1401,,6104N 02423E,
,FI,HHO,Hauho,Hauho,06,RL,--3-----,1307,,6110N 02432E,
,FI,HAU,Haukipudas,Haukipudas,14,AF,1-------,1307,,,
,FI,HAI,Haukivuori,Haukivuori,04,RL,-----6--,1307,,6201N 02713E,
,FI,HJI,Hausjärvi,Hausjarvi,06,RL,-23-----,1307,,6047N 02456E,
,FI,HEI,Heinavaara,Heinavaara,13,RL,--3-----,1401,,6233N 03010E,
,FI,HEA,Heinola,Heinola,16,AF,--3-----,1307,QVV,6112N 02602E,
,FI,swe_HEL,Helsingfors (Helsinki),Helsingfors (Helsinki),18,AI,1-------,1401,,,
,FI,HEL,Helsinki (Helsingfors),Helsinki (Helsingfors),18,AI,1-------,1401,,,
,FI,HER,Herrala,Herrala,15,RL,--3-----,1701,,6229N 02715E,
,FI,HVA,Hervanta,Hervanta,11,RL,--3-----,1307,,6125N 02352E,
,FI,HIT,Hiitinen,Hiitinen,,RL,1-------,1107,,5953N 02230E,
,FI,HIK,Hikiä,Hikia,06,RL,--3-----,1307,,6045N 02455E,
,FI,HIM,Himanka,Himanka,,RL,1-3-----,1301,,6404N 02339E,
,FI,HMA,Himankakylä,Himankakyla,07,RL,1-3-----,1307,,6410N 02342E,
,FI,HIJ,Hinnerjoki,Hinnerjoki,17,RL,--3-----,1307,,6059N 02157E,
,FI,HVM,Hirvensalmi,Hirvensalmi,,RL,1-3-----,1301,,6138N 02648E,
,FI,HVH,Hirvihaara,Hirvihaara,18,RL,--3-----,1307,,6037N 02514E,
,FI,HOJ,Holjakka,Holjakka,13,RL,--3-----,1307,,6329N 02926E,
,FI,HOL,Hollola,Hollola,16,AF,--3-----,1607,,6103N 02526E,
,FI,LSH,Honkajoki,Honkajoki,17,RL,-----6--,1401,,6159N 02216E,
+,FI,HON,Honkakoski,Honkakoski,19,AA,--3-----,1907,,6145N 02208E,
,FI,HOU,Houtskari (Houtskär),Houtskari (Houtskar),19,AI,1-------,1401,,6013N 02123E,
,FI,swe_HOU,Houtskär (Houtskari),Houtskar (Houtskari),19,AI,1-------,1401,,6013N 02123E,
,FI,HUN,Huittinen,Huittinen,17,AF,--3-----,1401,,6111N 02242E,
,FI,HUM,Humppila,Humppila,06,RL,-23--6--,1307,,6056N 02322E,
,FI,HPF,Huutjarvi,Huutjarvi,09,AA,--3-----,1601,,6028N 02645E,
,FI,HYR,Hyrylä,Hyryla,18,AF,--3-----,1401,,,
,FI,swe_HYV,Hyvinge (Hyvinkää),Hyvinge (Hyvinkaa),18,AF,--3-----,1401,,6038N 02452E,
,FI,HYV,Hyvinkää (Hyvinge),Hyvinkaa (Hyvinge),18,AF,--3-----,1401,,6038N 02452E,
,FI,HLL,Hällnäs,Hallnas,12,RL,--3-----,1307,,6315N 02214E,
,FI,HKY,Hämeenkyrö (Tavastkyro),Hameenkyro (Tavastkyro),11,RL,--3-----,1307,,6138N 02312E,
,FI,HMY,Hämeenlinna (Tavastehus),Hameenlinna (Tavastehus),06,AC,--3-----,1307,QVM,,
,FI,HRM,Härmä,Harma,14,RL,--3-----,1807,,6314N 02252E,
,FI,swe_KRK,Högfors (Karkkila),Hogfors (Karkkila),18,AF,--3-----,1401,QVF,6032N 02411E,
,FI,HOG,Högsåra,Hogsara,19,RL,1-3-----,1307,,5957N 02222E,
,FI,swe_IIS,Idensalmi (Iisalmi),Idensalmi (Iisalmi),15,AC,123-----,1307,,6333N 02711E,
+,FI,IHO,Ihode,Ihode,19,AA,--3-----,1907,,6059N 02136E,
,FI,IIO,Ii,Ii,14,RL,--3-----,1501,,6519N 02522E,
,FI,IIS,Iisalmi (Idensalmi),Iisalmi (Idensalmi),15,AC,123-----,1307,,6333N 02711E,
,FI,IIV,Iisvesi,Iisvesi,15,RL,--3-----,1307,,6240N 02702E,
,FI,IIT,Iittala,Iittala,06,AA,--3-----,1607,,6107N 02410E,
,FI,ITI,Iitti,Iitti,09,RL,--3-----,1307,,6052N 02623E,
,FI,IKA,Ikaalinen (Ikalis),Ikaalinen (Ikalis),11,AF,--3-----,1307,,6146N 02304E,
,FI,IKK,Ikkala,Ikkala,19,RL,--3-----,1307,,6029N 02407E,
,FI,IJK,Ilmajoki,Ilmajoki,03,AF,--3-----,1401,,6244N 02234E,
,FI,ILO,Ilomantsi (Ilomants),Ilomantsi (Ilomants),13,RL,--3-----,1307,,6240N 03056E,
,FI,ILV,Ilvesjoki,Ilvesjoki,03,RL,--3-----,1307,,6220N 02243E,
,FI,IMA,Imatra,Imatra,02,AC,123----B,1307,,6110N 02845E,
,FI,INA,Inari,Inari,,RL,--3-----,0901,,6854N 02710E,
,FI,IGY,Ingermaninkylä (Ingermansby),Ingermaninkyla (Ingermansby),18,RL,--3-----,1401,,6037N 02609E,
,FI,swe_INK,Ingå (Inkoo),Inga (Inkoo),18,AI,1-------,1401,,,
,FI,INI,Iniö,Inio,19,AF,1-------,1401,,6024N 02124E,
,FI,IKR,Inkeroinen,Inkeroinen,09,RL,--3-----,1307,,6042N 02651E,
,FI,INK,Inkoo (Ingå),Inkoo (Inga),18,AI,1-------,1401,,,
,FI,ISN,Isnäs,Isnas,18,AF,1-------,1401,,,
,FI,ISO,Isojoki,Isojoki,03,RL,--3-----,1307,,6207N 02158E,
,FI,ISK,Isokyro,Isokyro,12,AA,--3-----,1601,,6300N 02219E,
,FI,IVL,Ivalo,Ivalo,10,AC,--34----,1401,,6839N 02736E,
