,CR,ESC,Escazú,Escazu,SJ,RL,--3-----,0407,,0955N 08408W,
,CR,ESP,Esparza,Esparza,P,RL,-23-----,0407,,0959N 08440W,
,CR,FIL,Filadelfia,Filadelfia,G,RL,1-3--6--,0401,,1027N 08534W,
,CR,FMG,Flamingo,Flamingo,G,RL,---4----,0907,,1025N 08547W,
,CR,AFS,Florencia de San Carlos,Florencia de San Carlos,A,RL,-----6--,0901,,1022N 08429W,
,CR,FON,Fortuna,Fortuna,G,RL,---4----,0907,,1040N 08513W,
,CR,FPN,Fraijanes,Fraijanes,A,RL,1-3--6--,0401,,1009N 08412W,
,CR,FRA,Francia,Francia,L,RL,--3--6--,0901,,1008N 08333W,
,CR,GLF,Golfito,Golfito,P,AI,1-34----,0407,,0839N 08309W,
,CR,GDP,Golfo de Papagayo,Golfo de Papagayo,G,RL,1-3-----,0407,,1036N 08541W,
,CR,GMI,Grecia,Grecia,A,RL,--3-----,0407,,1004N 08419W,
,CR,GUC,Guacimo,Guacimo,L,RL,--3-----,0507,,1013N 08341W,
,CR,GDA,Guardia,Guardia,G,RL,1-3--6--,0401,,1034N 08536W,
,CR,GTS,Guatuso,Guatuso,SJ,RQ,-----6--,1007,,0951N 08422W,
,CR,GUA,Guatuso,Guatuso,C,RL,1-3--6--,1101,,1040N 08449W,
,CR,GCA,Guácima,Guacima,A,RL,--3-----,1601,,0958N 08415W,
,CR,CPL,Guápiles,Guapiles,L,RL,--3-----,0407,,1013N 08347W,
,CR,HCD,Hacienda Coronado,Hacienda Coronado,A,RL,--3-----,1707,,1024N 08430W,
,CR,HER,Heredia,Heredia,H,RL,-23-----,0407,,1000N 08407W,
,CR,HSA,Horluetas/Sarapiqui,Horluetas/Sarapiqui,H,RQ,1----6--,0901,,1029N 08401W,
,CR,JAB,Jabillos,Jabillos,A,RL,--3-----,1407,,1023N 08433W,
,CR,JAC,Jacó,Jaco,P,RL,--3-----,0501,,0937N 08438W,
,CR,JAR,Jaris,Jaris,SJ,RL,--3-----,1107,,0952N 08417W,
,CR,JIC,Jicaral,Jicaral,P,RL,1-3-----,0401,,0958N 08507W,
,CR,JIM,Jimenez,Jimenez,L,RQ,--3-----,0607,,1013N 08343W,
,CR,LAN,La Asunción,La Asuncion,H,RL,--3-----,1501,,0959N 08410W,
,CR,LCO,La Ceiba de Orotina,La Ceiba de Orotina,A,RL,--3-----,1301,,0954N 08431W,
