,IR,IKA,Imam Khomeini International Apt/Tehran,Imam Khomeini International Apt/Tehran,07,AI,---4----,1101,,3524N 05109E,
,IR,BIK,Imam Khomeini Pt/ Mahshahr City,Imam Khomeini Pt/ Mahshahr City,10,RL,1-------,0901,,3025N 04904E,
,IR,IFN,Isfahan,Isfahan,,AI,12-4----,9601,,,
,IR,IQH,Islam Qal'eh,Islam Qal'eh,,RQ,--3-----,0207,,,
,IR,JAK,Jask,Jask,,RQ,0-------,9506,,,
,IR,JRT,Jiroft,Jiroft,15,RQ,--3-----,0901,,2840N 05743E,
,IR,DJU,Jolfa,Jolfa,01,RL,-23----B,1207,,3855N 04540E,
,IR,KAL,Kalaleh,Kalaleh,,RL,--3-----,0901,,3535N 05804E,
,IR,KNR,Kangan,Kangan,,AI,---4----,0001,,,
,IR,QKC,Karaj,Karaj,07,AI,---4----,1307,,3549N 05100E,
,IR,KAS,Kashan,Kashan,,QQ,1-------,8103,,,
,IR,KER,Kerman,Kerman,,AI,---4----,9601,,,
,IR,KMS,Kermanshah,Kermanshah,25,RL,--3-----,0501,,3118N 05452E,
,IR,KSH,Kermanshah (Bakhtaran),Kermanshah (Bakhtaran),17,RL,123-----,0501,,3418N 04703E,
,IR,KHA,Khaneh,Khaneh,,AI,---4----,0001,,,
,IR,KHK,Khark Island,Khark Island,,AI,1--4----,9601,,,
,IR,KHD,Khorramabad,Khorramabad,,AI,---4----,0001,,,
,IR,KHO,Khorramshahr,Khorramshahr,,QQ,1-------,8103,,,
,IR,KHS,Khosravi,Khosravi,,AI,----5---,9805,,,
,IR,KOR,Khosrowshahr,Khosrowshahr,,RL,-----6--,1107,,3756N 04604E,
,IR,KHY,Khvoy,Khvoy,02,RL,--3-----,0501,,3833N 04456E,
,IR,KIH,Kish Island,Kish Island,,AI,---4----,0001,,2632N 05400E,
,IR,LFM,Lamerd,Lamerd,14,RQ,---4----,0907,,2722N 05311E,
,IR,LRR,Lar,Lar,,AI,---4----,0001,,,
,IR,LVP,Lavan,Lavan,,AI,1--4----,9601,,,
,IR,LIN,Lingah,Lingah,,RQ,1-------,9506,,,
,IR,MLK,Malekan,Malekan,,RL,-----6--,1201,,3437N 05106E,
,IR,MHD,Mashad,Mashad,,AI,---4----,9601,,,
