,LV,BMT,"Baltmarine Terminal, Riga","Baltmarine Terminal, Riga",RIX,RQ,1------B,1501,,,
,LV,LAZ,Lazdukalns,Lazdukalns,,RL,--3-----,1301,,5656N 02705E,
,LV,LVD,Lielvarde,Lielvarde,053,RL,--3-----,1601,,5643N 02448E,
,LV,LPX,Liepaja,Liepaja,LPX,AI,1-34----,0501,,5631N 02101E,
,LV,LGT,Ligatne,Ligatne,055,RL,--3-----,1601,,5714N 02503E,
,LV,LBZ,Limbazi,Limbazi,054,RL,-23-----,1307,,5730N 02442E,
,LV,LVI,Livani,Livani,073,RL,-23-----,1307,,5622N 02611E,
,LV,LZS,Lizums,Lizums,033,RL,-23-----,1307,,5712N 02622E,
,LV,LBN,Lubana,Lubana,057,RL,--3-----,1601,,5654N 02643E,
,LV,BNH,Ludza,Ludza,058,RL,1-3-----,1401,,5633N 02743E,
,LV,MAD,Madona,Madona,059,RL,-23-----,1307,,5651N 02613E,
,LV,MAL,Malta,Malta,077,RL,--3-----,1307,,5621N 02710E,
,LV,MGI,Mangali,Mangali,003,RL,--3-----,1307,,5645N 02128E,
,LV,ZVT,Marupe,Marupe,062,RL,1-3-----,1401,,5654N 02402E,
,LV,MZC,Mazsalaca,Mazsalaca,060,RL,--3-----,1601,,5752N 02503E,
,LV,MRX,Mersrags,Mersrags,063,AA,123-----,1307,,5720N 02306E,
,LV,MAU,Misa,Misa,105,RL,-----6--,1307,,5635N 02423E,
,LV,MPS,Mālpils,Mālpils,RIX,RL,--3-----,1301,,5700N 02457E,
,LV,NAM,Namiki,Namiki,088,RL,--3-----,1807,,5643N 02224E,
,LV,NAU,Naukseni,Naukseni,064,RL,--3-----,1701,,5753N 02527E,
,LV,NKS,Naukseni,Naukseni,064,RL,--3-----,1601,,5753N 02527E,
,LV,NRT,Nereta,Nereta,065,RL,--3-----,1601,,5610N 02518E,
,LV,NCA,Nica,Nica,066,RL,--3-----,1601,,5621N 02104E,
,LV,ORE,Ogre,Ogre,067,RL,123-----,1307,,5648N 02437E,
,LV,OLA,Olaine,Olaine,068,RL,-23-----,1307,,5647N 02356E,
,LV,D7G,Ozolnieki,Ozolnieki,069,RL,--3-----,1601,,5641N 02347E,
,LV,PBZ,Pabazi,Pabazi,089,RL,--3-----,1307,,5716N 02435E,
,LV,PAC,Pace,Pace,016,RL,--3-----,1501,,5619N 02411E,
,LV,PAR,Pargauja,Pargauja,070,RL,--3-----,1601,,5722N 02501E,
,LV,PAT,Paternieki,Paternieki,047,RQ,--3----B,1307,,,
,LV,PVT,Pavilosta,Pavilosta,071,RL,--3-----,1601,,5653N 02111E,
,LV,PIN,Pinki,Pinki,032,RL,--3-----,1307,,5656N 02354E,
,LV,PVN,Plavinas,Plavinas,072,RL,--3-----,1601,,5637N 02543E,
,LV,PLC,Ploce,Ploce,LPX,RQ,-2------,0901,,,
,LV,PRE,Preli (Preili),Preli (Preili),073,RL,--3-----,1501,,5618N 02643E,
,LV,PKL,Priekule,Priekule,075,RL,--3-----,1601,,5626N 02135E,
,LV,PKU,Priekuli,Priekuli,022,RL,-----6--,1307,,5719N 02522E,
,LV,TTU,Pure,Pure,,RL,--3-----,1301,,5702N 02254E,
