,MS,BRD,Brades,Brades,,RL,--3-----,1601,,1647N 06212W,
,MS,LTB,Little Bay,Little Bay,,RL,1-3-----,1607,,1648N 06212W,
,MS,MNI,Montserrat,Montserrat,,AI,---4----,9601,,,
,MS,PLY,Plymouth,Plymouth,,RQ,1---5---,9506,,,
